[10/24/2019 04:12:57 PM][ INFO    ] Loading Graph Engine Extensions.
[10/24/2019 04:12:59 PM][ INFO    ] Scanning for TSL storage extension.
[10/24/2019 04:12:59 PM][ INFO    ] TSL storage extension loaded.
[10/24/2019 04:12:59 PM][ INFO    ] Scanning for MemoryCloud extensions.
[10/24/2019 04:12:59 PM][ INFO    ] Scanning for startup tasks.
[10/24/2019 04:12:59 PM][ INFO    ] EventLoop: Starting.
[10/24/2019 04:12:59 PM][ INFO    ] TrinityClient: scanning for client connection factory.
[10/24/2019 04:12:59 PM][ INFO    ] MemoryCloud extension 'ClientMemoryCloud' loaded.
[10/24/2019 04:12:59 PM][ INFO    ] Scanning for auto-registered communication modules.
[10/24/2019 04:13:00 PM][ INFO    ] Working Directory: I:\IKW-GraphEngineConsoleApps\IKW.Trinity.Client.TestServer\Trinity.WPF.TestClient\bin\Debug\netcoreapp3.0\
[10/24/2019 04:13:00 PM][ INFO    ] StorageRoot : I:\IKW-GraphEngineConsoleApps\IKW.Trinity.Client.TestServer\Trinity.WPF.TestClient\bin\Debug\netcoreapp3.0\storage\
[10/24/2019 04:13:00 PM][ INFO    ] LogDirectory: I:\IKW-GraphEngineConsoleApps\IKW.Trinity.Client.TestServer\Trinity.WPF.TestClient\bin\Debug\netcoreapp3.0\trinity-log
[10/24/2019 04:13:00 PM][ INFO    ] LoggingLevel: Info
[10/24/2019 04:13:00 PM][ INFO    ] HttpPort:     80
[10/24/2019 04:13:00 PM][ INFO    ] Client -1 is successfully started.
[10/24/2019 04:13:08 PM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[10/24/2019 04:13:11 PM][ INFO    ] Initializing logging facility
[10/24/2019 04:13:11 PM][ INFO    ] Reading log file.
[10/24/2019 04:13:11 PM][ INFO    ] Write-ahead-log successfully loaded. Recovered 0 records.
[10/24/2019 04:13:11 PM][ INFO    ] Creating write-ahead log file I:\IKW-GraphEngineConsoleApps\IKW.Trinity.Client.TestServer\Trinity.WPF.TestClient\bin\Debug\netcoreapp3.0\storage\B\write_ahead_log\primary_storage_log_37.dat
