[10/16/2019 04:05:53 PM][ INFO    ] Loading Graph Engine Extensions.
[10/16/2019 04:05:56 PM][ INFO    ] Scanning for TSL storage extension.
[10/16/2019 04:05:57 PM][ INFO    ] No TSL storage extension loaded.
[10/16/2019 04:05:57 PM][ INFO    ] Scanning for MemoryCloud extensions.
[10/16/2019 04:05:57 PM][ INFO    ] Scanning for startup tasks.
[10/16/2019 04:05:58 PM][ INFO    ] EventLoop: Starting.
[10/16/2019 04:05:58 PM][ INFO    ] TrinityClient: scanning for client connection factory.
[10/16/2019 04:06:01 PM][ INFO    ] MemoryCloud extension 'ClientMemoryCloud' loaded.
[10/16/2019 04:06:01 PM][ INFO    ] Scanning for auto-registered communication modules.
[10/16/2019 04:06:01 PM][ INFO    ] Working Directory: I:\IKW-GraphEngineConsoleApps\IKW.Trinity.Client.TestServer\Trinity.WPF.TestClient\bin\Debug\netcoreapp3.0\
[10/16/2019 04:06:01 PM][ INFO    ] StorageRoot : I:\IKW-GraphEngineConsoleApps\IKW.Trinity.Client.TestServer\Trinity.WPF.TestClient\bin\Debug\netcoreapp3.0\storage\
[10/16/2019 04:06:01 PM][ INFO    ] LogDirectory: I:\IKW-GraphEngineConsoleApps\IKW.Trinity.Client.TestServer\Trinity.WPF.TestClient\bin\Debug\netcoreapp3.0\trinity-log
[10/16/2019 04:06:01 PM][ INFO    ] LoggingLevel: Info
[10/16/2019 04:06:01 PM][ INFO    ] HttpPort:     80
[10/16/2019 04:06:01 PM][ INFO    ] Client -1 is successfully started.
